Q;Qss
22,5;3,69
115;155,00
33,4;18,47
30,6;10,05
30,2;14,35
28,2;5,12
18,5;4,64
134;45,15
79,8;199,95
19,9;2,75
88,9;45,32
35,1;5,46
43,2;8,21
37,8;6,86
40,5;52,14
23,9;6,61
40,4;12,92
113;67,37
52,7;27,78
85;21,81
80,3;49,95
34,8;18,64
11,7;1,72
67,2;21,38
46,7;8,55
142;76,31
35,7;11,66
88,9;12,34
99,8;65,84
93,3;61,55
41,9;7,57
23,8;6,09
116;20,25
19,7;1,96
31,8;3,60
474;757,23
52,7;30,32
19,2;12,87
12,3;1,70
8,05;1,86
12,6;3,20
326;2976,63
215;134,86
67,3;21,11
39,4;20,70
138;178,73
73,7;36,61
22,1;2,81
22,4;5,48
128,57;89,87
38,4;3,95
17,5;1,87
60,4;24,79
40,6;17,93
49,8;58,95
18,4;17,36
13;1,85
149;24,59
35,4;24,71
204;238,12
63,9;33,51
22,8;11,76
7,19;0,89
30,5;1,11
33,9;20,53
82;72,62
11,6;1,55
20,9;4,41
15,9;4,73
35;197,35
277;261,35
10,6;1,66
42,8;9,95
22,4;10,84
35,7;0,71
24,2;20,03
23,6;8,09
18,1;10,65
110;120,32
77,9;93,35
55,7;23,15
8,82;27,02
